Species,Class,ESD,Size,0.4,0.405,0.41,0.415,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.47,0.475,0.48,0.485,0.49,0.495,0.5,0.505,0.51,0.515,0.52,0.525,0.53,0.535,0.54,0.545,0.55,0.555,0.56,0.565,0.57,0.575,0.58,0.585,0.59,0.595,0.6,0.605,0.61,0.615,0.62,0.625,0.63,0.635,0.64,0.645,0.65,0.655,0.66,0.665,0.67,0.675,0.68,0.685,0.69,0.695,0.7,0.705,0.71,0.715,0.72,0.725,0.73,0.735,0.74,0.745,0.75,0.755,0.76,0.765,0.77,0.775,0.78,0.785,0.79,0.795,0.8,0.805,0.81,0.815,0.82,0.825,0.83,0.835,0.84,0.845,0.85,0.855,0.86,0.865,0.87,0.875,0.88,0.885,0.89,0.895,0.9
D. tertiolecta1,Chlorophyceae,5.6,10,0.013638458,0.014439017,0.015333585,0.016131172,0.016564338,0.016988863,0.017405957,0.017773075,0.017538054,0.016615526,0.015366939,0.014466427,0.014082962,0.013952077,0.013850638,0.013759601,0.013604003,0.01337344,0.013030649,0.011574176,0.010579656,0.009013653,0.007356614,0.005756981,0.004475976,0.003590325,0.003004257,0.002702913,0.002463433,0.002203423,0.002081454,0.002081454,0.002251913,0.002423859,0.002597015,0.002646716,0.002758008,0.003009376,0.00318578,0.003323821,0.003355964,0.003561814,0.003792378,0.004134507,0.00437074,0.004494195,0.004494195,0.00441923,0.004723272,0.005528289,0.00636545,0.007020538,0.00826318,0.010200484,0.011783494,0.01257932,0.012731671,0.011074357,0.007284566,0.003850555,0.002064667,0.001079338,0.000577151,0.00030107,0.000136555,5.59E-05,3.24E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05
G. theta,Cryptophyceae,5.4,8,0.01940167,0.020678034,0.022082993,0.023347555,0.024011678,0.02464986,0.025634856,0.026564406,0.026441712,0.024838573,0.02298771,0.022127744,0.022226833,0.022010951,0.020879656,0.018935604,0.01695971,0.015988852,0.01610208,0.016904264,0.016119784,0.014825716,0.01301026,0.011048504,0.009865329,0.009375781,0.009512614,0.009920775,0.010343074,0.010604936,0.010759472,0.010374915,0.009736733,0.009130393,0.008308169,0.007527254,0.006463207,0.005559597,0.004814089,0.004205412,0.003531823,0.003418596,0.003628577,0.004187709,0.004484978,0.004823555,0.00502407,0.005214013,0.005313103,0.004884902,0.004678486,0.005570293,0.008108883,0.01155932,0.013971651,0.015393085,0.015328172,0.012706966,0.008347018,0.004307944,0.002224724,0.0011265,0.00059921,0.000436437,0.000238258,5.19E-05,6.37E-05,5.90E-06,0.000136832,0.000186377,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06,5.90E-06
T. oceanica1,Bacillariophyceae,6,8,0.025509177,0.027167716,0.028890694,0.029400581,0.030798806,0.031373132,0.032760618,0.033573777,0.033313464,0.032207771,0.030527753,0.029671634,0.03022448,0.029086568,0.028501502,0.02736359,0.026778524,0.025141465,0.024178459,0.023461447,0.021164143,0.019776657,0.018150338,0.017283479,0.016167046,0.015560501,0.014422589,0.01354499,0.011832752,0.011204727,0.010077554,0.008722288,0.006803436,0.00625059,0.005936577,0.005590345,0.006121711,0.006349805,0.006089492,0.006078752,0.005579605,0.005861398,0.005536646,0.005775479,0.006100232,0.006025053,0.006035793,0.006317586,0.006317586,0.005472207,0.00491936,0.006567159,0.010273429,0.01509613,0.018966054,0.020581634,0.016886104,0.011542776,0.006177968,0.002807191,0.001105693,0.000552846,0.001408965,0.000260313,0.000606546,0.000399931,0.000660245,0.000118138,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05,5.37E-05
G. simplex,Dinophyceae,7.6,8,0.02939178,0.029763594,0.030120952,0.030303917,0.030406449,0.03050041,0.030939544,0.031286061,0.03115772,0.030334493,0.029858709,0.029643635,0.029788191,0.029496298,0.028693411,0.027226817,0.02563508,0.02463973,0.02412688,0.023283823,0.022110465,0.02085306,0.019572628,0.018470204,0.017686313,0.016782236,0.016154669,0.015314299,0.014261126,0.013399073,0.012534749,0.010994534,0.009753855,0.008582768,0.007899649,0.007909147,0.007519264,0.00749531,0.007218801,0.006817149,0.006362632,0.005917613,0.005845335,0.006023343,0.006138571,0.006085706,0.006203621,0.006213119,0.005917197,0.005948378,0.005674139,0.005616317,0.006882293,0.00951182,0.012415585,0.01412658,0.012125964,0.008108933,0.004501708,0.002362421,0.001364383,0.00108653,0.000661852,0.000402068,0.000209605,0.000202378,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737,0.000175737
H. akashiwo,Raphidophyceae,11,25,0.01060784,0.010930299,0.011356135,0.011462324,0.011638368,0.011708223,0.011807707,0.011870858,0.011954122,0.011602034,0.011150462,0.010678777,0.010346802,0.010014827,0.009459877,0.009107789,0.009001601,0.00884567,0.008499205,0.008277312,0.007792217,0.007397092,0.006981853,0.006506274,0.006217337,0.005808803,0.005536086,0.005330413,0.004978325,0.004592715,0.004157363,0.00356608,0.003121212,0.002832275,0.002586376,0.002589188,0.002575779,0.002522144,0.002359509,0.002239911,0.00208398,0.002113609,0.002379622,0.002801565,0.002907754,0.003047464,0.003103911,0.003060873,0.00287142,0.002479106,0.002522144,0.003203395,0.004592715,0.006692916,0.007895595,0.008201833,0.007434506,0.005839513,0.003971803,0.001928049,0.00106405,0.000621993,0.000389503,0.000326352,0.000236383,9.00E-05,8.33E-05,4.46E-18,8.33E-05,8.33E-05,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18,4.46E-18
N. atomus,Chlorophyceae,3.1,3,0.069868067,0.073424329,0.07757131,0.080903066,0.083040189,0.084844137,0.086753741,0.088043225,0.086133621,0.080732582,0.073397318,0.067522021,0.064835007,0.062957817,0.062001509,0.062044727,0.062017715,0.060557748,0.057087299,0.050483836,0.043909775,0.03621131,0.029455337,0.023165207,0.018002492,0.01484361,0.012898579,0.011606083,0.010882696,0.010153907,0.009641833,0.009866339,0.009977398,0.010686967,0.011561618,0.012222567,0.012864296,0.013907041,0.014356677,0.01494137,0.015328569,0.015862252,0.017059274,0.018324136,0.019507964,0.020011623,0.019962379,0.019994793,0.021159401,0.025059643,0.028385996,0.030783053,0.036733981,0.045865402,0.053423407,0.057595633,0.058758475,0.049606692,0.031582799,0.016483619,0.009025868,0.004905275,0.003079095,0.001819012,0.001233695,0.000786448,0.000612952,0.000228143,0.000246739,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05,5.16E-05
Pavlova sp. ,Prymnesiophyceae,3.2,5,0.012446563,0.013006529,0.013675646,0.014225522,0.014515975,0.014861003,0.015445272,0.015913663,0.015852361,0.015009426,0.014156401,0.013729888,0.013549344,0.012911257,0.012215231,0.011290812,0.010730845,0.010461332,0.010739754,0.010096122,0.009789609,0.009062552,0.008404283,0.007888802,0.007329593,0.006694869,0.006258266,0.00576036,0.005340574,0.004856123,0.004320459,0.003852826,0.003565736,0.003180345,0.002818498,0.002590106,0.00226938,0.002348259,0.002365077,0.002231623,0.002064533,0.002143412,0.002280229,0.002423774,0.002567318,0.002683196,0.002700014,0.002676469,0.002567318,0.002280229,0.002283593,0.00298971,0.004567185,0.007059746,0.008941886,0.009328793,0.007841044,0.005455028,0.003095921,0.001402567,0.000763723,0.00037421,0.000206362,0.00012412,7.96E-05,8.64E-05,5.53E-05,6.88E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05,5.53E-05
C. polylepis,Prymnesiophyceae,6,7,0.013353984,0.013694859,0.01416807,0.01449691,0.014705451,0.014686414,0.015113506,0.015534581,0.015629825,0.01531603,0.015192722,0.015106505,0.015290975,0.015296993,0.015228829,0.014822799,0.014146081,0.013469364,0.01263925,0.011369024,0.010677262,0.009859183,0.009265674,0.008672165,0.00810672,0.007556319,0.006965819,0.006224931,0.005524142,0.004875489,0.0042148,0.003707508,0.003307495,0.003246333,0.003136045,0.002908467,0.003071874,0.003262362,0.003492949,0.003495958,0.003256344,0.003019739,0.00301673,0.002940523,0.002992658,0.003038776,0.003115966,0.003156066,0.003147039,0.002778099,0.002559548,0.002784117,0.003992198,0.00589204,0.007730721,0.008530746,0.007670542,0.005715556,0.003265313,0.001359452,0.000618564,0.000353895,0.000264669,0.000135343,3.71E-05,6.82E-05,3.71E-05,3.71E-05,3.71E-05,4.31E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05,3.71E-05
S. elongatus,Cyanophyceae,2.5,3,0.017903452,0.019610632,0.021832159,0.024028827,0.025427837,0.026300071,0.027577348,0.029515563,0.029662154,0.026558524,0.022192604,0.018833079,0.017031584,0.01645765,0.015441385,0.014817734,0.01377661,0.013938189,0.012221139,0.013376684,0.011868371,0.010655798,0.009100327,0.007139813,0.005338318,0.004016442,0.003442508,0.002990306,0.002391514,0.003388039,0.003181861,0.002901109,0.002682502,0.002585628,0.003139821,0.006134149,0.007645021,0.00843025,0.008432809,0.008470097,0.009759803,0.0104233,0.011601144,0.01338034,0.01555215,0.017502795,0.01820102,0.01837247,0.017207054,0.015196823,0.013763085,0.012759248,0.012846252,0.014270121,0.015410677,0.016354927,0.016389655,0.013641352,0.00914127,0.004126842,0.002203614,0.000844451,0.000675561,0.000591116,0.000335221,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05,7.93E-05
